function,module,impl_block
parse,verilib-cli::structure::frontmatter,
FileStorage::delete_password,verilib-cli::storage::file,
create_repo_from_git_url,verilib-cli::commands::init,
handle_create,verilib-cli::commands::create,
save_config_from_response,verilib-cli::commands::deploy,
fetch_verifier_versions,verilib-cli::commands::deploy,
load_proofs_from_file,verilib-cli::commands::verify,
run_analyze_verus_specs_proofs,verilib-cli::commands::create,
cleanup_intermediate_files,verilib-cli::structure::probe,
run_command,verilib-cli::structure::utils,
generate_stubs,verilib-cli::commands::atomize,
FileStorage::set_password,verilib-cli::storage::file,
generate_probe_atoms,verilib-cli::commands::atomize,
handle_list,verilib-cli::commands::api,
get_credential_storage,verilib-cli::storage,
StructureConfig::save,verilib-cli::structure::config,
get_display_name,verilib-cli::structure::utils,
update_structure_files,verilib-cli::commands::atomize,
disambiguate_names,verilib-cli::commands::create,
collect_certifications,verilib-cli::commands::specify,
test_specify_check_only_reports_uncertified,verilib-cli::specify_tests,
handle_batch,verilib-cli::commands::api,
run_local,verilib-cli::structure::executor,
require_probe_installed,verilib-cli::structure::probe,
test_atomize_check_only_passes_when_stubs_match,verilib-cli::atomize_tests,
enrich_stubs,verilib-cli::commands::atomize,
write,verilib-cli::structure::frontmatter,
check_stubs_match,verilib-cli::commands::atomize,
check_admin_status,verilib-cli::commands::api,
handle_api_error,verilib-cli::download::error,
resolve_code_name_and_atom,verilib-cli::commands::atomize,
load_atoms_from_file,verilib-cli::commands::atomize,
print_platform_help,verilib-cli::storage,
test_specify_no_probe_loads_specs_from_file,verilib-cli::specify_tests,
test_commands_create_default_config_when_missing,verilib-cli::error_handling_tests,
test_atomize_update_stubs_updates_md_files,verilib-cli::atomize_tests,
tracked_to_structure,verilib-cli::commands::create,
wait_for_atomization,verilib-cli::download::client,
build_enriched_entry,verilib-cli::commands::atomize,
is_git_available,verilib-cli::commands::reclone,
get_platform_info,verilib-cli::storage,
run_command,verilib-cli::structure::executor,
ConfigPaths::load,verilib-cli::structure::config,
FileStorage::ensure_secure_file,verilib-cli::storage::file,
StructureConfig::new,verilib-cli::structure::config,
test_api_key_validation,verilib-cli::tests,
read_repo_id_from_config,verilib-cli::commands::deploy,
run_docker,verilib-cli::structure::executor,
update_stubs_with_verification,verilib-cli::commands::verify,
incorporate_spec_text,verilib-cli::commands::specify,
default_docker_image,verilib-cli::structure::executor,
test_verify_updates_stubs_with_verification_status,verilib-cli::verify_tests,
prompt_type,verilib-cli::commands::deploy,
encode_name,verilib-cli::structure::certs,
StorageType::should_use_file_storage,verilib-cli::storage::types,
handle_reclone,verilib-cli::commands::reclone,
validate_meta_file,verilib-cli::commands::api,
write_stubs_json,verilib-cli::commands::specify,
prompt_execution_mode,verilib-cli::commands::init,
